team,line,p_over,p_under,p_push,total
HOU,16.0,0.00015,0.99955,0.0003,1.0
HOU,16.5,0.00015,0.99985,0.0,1.0
IND,0.5,0.99995,5e-05,0.0,1.0
IND,1.0,0.9996,5e-05,0.00035,1.0
IND,1.5,0.9996,0.0004,0.0,1.0
IND,2.0,0.99775,0.0004,0.00185,1.0
IND,2.5,0.99775,0.00225,0.0,1.0
IND,3.0,0.989,0.00225,0.00875,1.0
IND,3.5,0.989,0.011,0.0,1.0
IND,4.0,0.9615,0.011,0.0275,1.0
IND,4.5,0.9615,0.0385,0.0,1.0
IND,5.0,0.8904,0.0385,0.0711,1.0
IND,5.5,0.8904,0.1096,0.0,1.0
IND,6.0,0.7579,0.1096,0.1325,1.0
IND,6.5,0.7579,0.2421,0.0,1.0
IND,7.0,0.57275,0.2421,0.18515,1.0
IND,7.5,0.57275,0.42725,0.0,1.0
IND,8.0,0.3807,0.42725,0.19205,1.0
IND,8.5,0.3807,0.6193,0.0,1.0
IND,9.0,0.21105,0.6193,0.16965,0.9999999999999999
IND,9.5,0.21105,0.78895,0.0,1.0
IND,10.0,0.09245,0.78895,0.1186,1.0
IND,10.5,0.09245,0.90755,0.0,1.0
IND,11.0,0.03185,0.90755,0.0606,1.0
IND,11.5,0.03185,0.96815,0.0,1.0
IND,12.0,0.00755,0.96815,0.0243,0.9999999999999999
IND,12.5,0.00755,0.99245,0.0,1.0
IND,13.0,0.00135,0.99245,0.0062,1.0
IND,13.5,0.00135,0.99865,0.0,1.0
IND,14.0,0.0002,0.99865,0.00115,1.0
IND,14.5,0.0002,0.9998,0.0,1.0
IND,15.0,0.0,0.9998,0.0002,1.0
IND,15.5,0.0,1.0,0.0,1.0
IND,16.0,0.0,1.0,0.0,1.0
IND,16.5,0.0,1.0,0.0,1.0
JAX,0.5,0.99995,5e-05,0.0,1.0
JAX,1.0,0.99895,5e-05,0.001,1.0
JAX,1.5,0.99895,0.00105,0.0,1.0
JAX,2.0,0.9923,0.00105,0.00665,1.0
JAX,2.5,0.9923,0.0077,0.0,1.0
JAX,3.0,0.965,0.0077,0.0273,1.0
JAX,3.5,0.965,0.035,0.0,1.0
JAX,4.0,0.8953,0.035,0.0697,1.0
JAX,4.5,0.8953,0.1047,0.0,1.0
JAX,5.0,0.7593,0.1047,0.136,1.0
JAX,5.5,0.7593,0.2407,0.0,1.0
JAX,6.0,0.56485,0.2407,0.19445,1.0
JAX,6.5,0.56485,0.43515,0.0,1.0
JAX,7.0,0.36625,0.43515,0.1986,1.0
JAX,7.5,0.36625,0.63375,0.0,1.0
JAX,8.0,0.19615,0.63375,0.1701,1.0
JAX,8.5,0.19615,0.80385,0.0,1.0
JAX,9.0,0.08635,0.80385,0.1098,1.0
JAX,9.5,0.08635,0.91365,0.0,1.0
JAX,10.0,0.029,0.91365,0.05735,1.0
JAX,10.5,0.029,0.971,0.0,1.0
JAX,11.0,0.00815,0.971,0.02085,1.0
JAX,11.5,0.00815,0.99185,0.0,1.0
JAX,12.0,0.0016,0.99185,0.00655,1.0
JAX,12.5,0.0016,0.9984,0.0,1.0
JAX,13.0,0.00025,0.9984,0.00135,0.9999999999999999
JAX,13.5,0.00025,0.99975,0.0,1.0
JAX,14.0,5e-05,0.99975,0.0002,1.0
JAX,14.5,5e-05,0.99995,0.0,1.0
JAX,15.0,0.0,0.99995,5e-05,1.0
JAX,15.5,0.0,1.0,0.0,1.0
JAX,16.0,0.0,1.0,0.0,1.0
JAX,16.5,0.0,1.0,0.0,1.0
KC,0.5,1.0,0.0,0.0,1.0
KC,1.0,1.0,0.0,0.0,1.0
KC,1.5,1.0,0.0,0.0,1.0
KC,2.0,1.0,0.0,0.0,1.0
KC,2.5,1.0,0.0,0.0,1.0
KC,3.0,0.99965,0.0,0.00035,1.0
KC,3.5,0.99965,0.00035,0.0,1.0
KC,4.0,0.9974,0.00035,0.00225,0.9999999999999999
KC,4.5,0.9974,0.0026,0.0,1.0
KC,5.0,0.9872,0.0026,0.0102,1.0
KC,5.5,0.9872,0.0128,0.0,1.0
KC,6.0,0.9578,0.0128,0.0294,1.0
KC,6.5,0.9578,0.0422,0.0,1.0
KC,7.0,0.89095,0.0422,0.06685,1.0
KC,7.5,0.89095,0.10905,0.0,1.0
KC,8.0,0.76365,0.10905,0.1273,1.0
KC,8.5,0.76365,0.23635,0.0,1.0
KC,9.0,0.58025,0.23635,0.1834,1.0
KC,9.5,0.58025,0.41975,0.0,1.0
KC,10.0,0.37335,0.41975,0.2069,1.0
KC,10.5,0.37335,0.62665,0.0,1.0
KC,11.0,0.20035,0.62665,0.173,1.0
KC,11.5,0.20035,0.79965,0.0,1.0
KC,12.0,0.0839,0.79965,0.11645,1.0
KC,12.5,0.0839,0.9161,0.0,1.0
KC,13.0,0.0267,0.9161,0.0572,1.0
KC,13.5,0.0267,0.9733,0.0,1.0
KC,14.0,0.0052,0.9733,0.0215,1.0
KC,14.5,0.0052,0.9948,0.0,1.0
KC,15.0,0.0012,0.9948,0.004,1.0
KC,15.5,0.0012,0.9988,0.0,1.0
KC,16.0,0.0,0.9988,0.0012,1.0
KC,16.5,0.0,1.0,0.0,1.0
LA,0.5,1.0,0.0,0.0,1.0
LA,1.0,0.9988,0.0,0.0012,1.0
LA,1.5,0.9988,0.0012,0.0,1.0
LA,2.0,0.9923,0.0012,0.0065,0.9999999999999999
LA,2.5,0.9923,0.0077,0.0,1.0
LA,3.0,0.9687,0.0077,0.0236,1.0
LA,3.5,0.9687,0.0313,0.0,1.0
LA,4.0,0.90615,0.0313,0.06255,1.0
